pagina,id,titulo,link,tipologia,estado,tamanho,preco,preco_antigo,desconto,preco_por_metro,localizacao,data_publicacao
3,5,"Ver Apartamento T3 para comprar na Amadora, Alfragide",https://casa.sapo.pt/comprar-apartamento-t3-amadora-alfragide-7baa67af-28cb-11f0-8add-060000000054.html,T3,Usado,140.0,599000.0,,,4278.57,"Alfragide, Amadora, Distrito de Lisboa",
3,6,"Ver Apartamento T3 para comprar na Amadora, Águas Livres, Damaia",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-damaia-ab2b1e55-06c3-11f0-9e61-060000000056.html,T3,Usado,95.0,295000.0,,,3105.26,"Damaia, Águas Livres, Amadora, Distrito de Lisboa",
3,7,"Ver Apartamento T3 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t3-amadora-mina-de-agua-24f47885-673f-11f0-8add-060000000054.html,T3,Usado,80.0,289000.0,,,3612.5,"Mina de Água, Amadora, Distrito de Lisboa",
3,8,"Ver Apartamento T2 para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t2-amadora-falagueira-venda-nova-c61fd822-2d7f-11f0-8add-060000000054.html,T2,Usado,70.0,270000.0,,,3857.14,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
3,9,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-8fa1f897-ceaf-11ef-8add-060000000054.html,T3,Recuperado,98.0,349000.0,,,3561.22,"Águas Livres, Amadora, Distrito de Lisboa",
3,10,"Ver Apartamento T0 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t0-amadora-mina-de-agua-09f60eea-6919-11f0-b3d3-060000000057.html,T0,Usado,55.0,269000.0,,,4890.91,"Mina de Água, Amadora, Distrito de Lisboa",
3,11,"Ver Apartamento T3 Triplex para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-1de1d13d-84f7-11f0-8add-060000000054.html,T3,Usado,90.0,295000.0,,,3277.78,"Águas Livres, Amadora, Distrito de Lisboa",
3,12,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-2cd03aa0-9228-11f0-8add-060000000054.html,T3,Usado,128.0,510000.0,,,3984.38,"Venteira, Amadora, Distrito de Lisboa",
3,13,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-d3e9b646-4940-11f0-80d2-060000000058.html,T3,Usado,89.0,330000340000294.0,,,3707868988767.35,"Águas Livres, Amadora, Distrito de Lisboa",
3,14,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-61770933-9228-11f0-8add-060000000054.html,T2,Usado,107.0,470000.0,,,4392.52,"Venteira, Amadora, Distrito de Lisboa",
3,15,"Ver Apartamento para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t3-amadora-falagueira-venda-nova-9b20b03d-582f-11f0-b3d3-060000000057.html,,Recuperado,98.0,385000.0,,,3928.57,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
3,16,"Ver Apartamento T2 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t2-amadora-aguas-livres-ed1e6290-5cd4-11f0-8add-060000000054.html,T2,Renovado,75.0,269000.0,,,3586.67,"Águas Livres, Amadora, Distrito de Lisboa",
3,17,"Ver Apartamento para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-37278587-5d1a-11f0-8add-060000000054.html,,Usado,80.0,245000.0,,,3062.5,"Venteira, Amadora, Distrito de Lisboa",
3,18,"Ver Apartamento T1 para comprar na Amadora, Alfragide",https://casa.sapo.pt/comprar-apartamento-t1-amadora-alfragide-90a847ee-84f8-11f0-8add-060000000054.html,T1,Usado,80.0,305000.0,,,3812.5,"Alfragide, Amadora, Distrito de Lisboa",
3,19,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-b98cbed3-8f28-11f0-b3d3-060000000057.html,T3,105m²,,349000.0,,,,"Venteira, Amadora, Distrito de Lisboa",
3,20,"Ver Apartamento T3 para comprar na Amadora, Encosta do Sol, Brandoa",https://casa.sapo.pt/comprar-apartamento-t3-amadora-encosta-do-sol-brandoa-54e17477-214b-11ec-91bc-060000000057.html,T3,Novo,130.0,375000.0,,,2884.62,"Brandoa, Encosta do Sol, Amadora, Distrito de Lisboa",
3,21,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-354f4eb8-abc3-11ee-9c85-060000000052.html,T2,Usado,52.0,240000.0,,,4615.38,"Venteira, Amadora, Distrito de Lisboa",
3,22,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-bae23001-6a7b-11f0-8add-060000000054.html,T3,Usado,80.0,295000.0,,,3687.5,"Águas Livres, Amadora, Distrito de Lisboa",
3,23,"Ver Apartamento para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t2-amadora-falagueira-venda-nova-80add89d-324a-11f0-8359-060000000051.html,,Usado,91.0,299000.0,,,3285.71,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
3,24,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-92dde435-6871-11f0-9e61-060000000056.html,T3,Renovado,110.0,349000.0,,,3172.73,"Águas Livres, Amadora, Distrito de Lisboa",
3,25,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-d18e2f47-3a47-11f0-8add-060000000054.html,T2,Usado,70.0,275000.0,,,3928.57,"Venteira, Amadora, Distrito de Lisboa",
4,1,"Ver Apartamento T2 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t2-amadora-aguas-livres-4181ea68-7e52-11f0-b3d3-060000000057.html,T2,Usado,70.0,275000.0,,,3928.57,"Águas Livres, Amadora, Distrito de Lisboa",
4,2,"Ver Apartamento T2 para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t2-amadora-falagueira-venda-nova-22a8ccff-6e2c-11f0-8add-060000000054.html,T2,Recuperado,79.0,279000.0,,,3531.65,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
4,3,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-562ff417-ce51-11ef-9e61-060000000056.html,T3,Usado,140.0,460000.0,,,3285.71,"Águas Livres, Amadora, Distrito de Lisboa",
4,4,"Ver Apartamento para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-aef907b9-f4b6-11ed-8a2b-060000000053.html,,Recuperado,90.0,349000.0,,,3877.78,"Águas Livres, Amadora, Distrito de Lisboa",
